Address ,List_Price ,latitude,longitude
"4432 N California Ave Chicago, IL 60625","$200,000 ",41.962253,-87.698822
"161 W Harrison St Chicago, IL 60605","$231,000 ",41.87416,-87.63288
"10800 S Talman Ave Chicago, IL 60655","$101,000 ",41.69705,-87.687835
"840 Polo Ln Glenview, IL 60025","$200,000 ",42.067404,-87.780447
"204 5th St Wilmette, IL 60091","$190,000 ",42.070302,-87.693366
"1321 W Birchwood Ave Apt 307 Chicago, IL 60626","$180,000 ",42.017933,-87.663732
"1344 Olive Rd Homewood, IL 60430","$263,000 ",41.55958,-87.650051
"2725 W Nelson St Chicago, IL 60618","$229,000 ",41.936434,-87.696338
"2870 Meadow Ln Unit Z2 Schaumburg, IL 60193","$310,500 ",42.029468,-88.154107
"18 N Victoria Ln Apt D Streamwood, IL 60107","$617,500 ",42.035636,-88.164937
"3255 Kirchoff Rd Apt 212 Rolling Meadows, IL 60008","$230,000 ",42.077699,-88.022163
"9413 Bay Colony Dr Apt 2S Des Plaines, IL 60016","$197,000 ",42.05107,-87.865838
"295 Cindy Ln Wheeling, IL 60090","$200,000 ",42.133417,-87.934561
"110 Prospect Ct Prospect Heights, IL 60070","$224,680 ",42.098771,-87.944595
"10914 Lorel Ave # 10914 Oak Lawn, IL 60453","$260,000 ",,
"525 N Stone Ave La Grange Park, IL 60526","$144,500 ",41.824165,-87.878489
"204 George Rd Wheeling, IL 60090","$38,000 ",42.135207,-87.931569
"2279 184th Pl Lansing, IL 60438","$273,000 ",41.560038,-87.563019
"4044 Grant St Oak Lawn, IL 60453","$95,000 ",41.697899,-87.722894
"11037 Menard Ave Chicago Ridge, IL 60415","$655,000 ",41.691104,-87.76379
"7800 Nagle Ave Burbank, IL 60459","$225,000 ",41.750107,-87.781857
"3106 Hedgerow Ln Homewood, IL 60430","$57,000 ",41.55236,-87.692457
"2714 N Lehmann Ct Apt 1N Chicago, IL 60614","$275,000 ",41.932084,-87.643887
"230 W Division St Apt 1508 Chicago, IL 60610","$180,000 ",41.904122,-87.635708
"200 N Dearborn St Chicago, IL 60601","$440,000 ",41.886056,-87.629874
"1512 S Prairie Ave Unit K Chicago, IL 60605","$225,000 ",41.861754,-87.621584
