Address,list_price,beds,baths,sq_ft,latitude,longitude
"1235 W George St Apt 112 Chicago, IL 60657",630000.0,3.0,2.5,2200.0,41.9341057,-87.6603853
"712 W Waveland Ave Apt 1D Chicago, IL 60613",424500.0,4.0,2.0,2200.0,41.949771,-87.647087
"613 N Paulina St # 3 Chicago, IL 60622",586500.0,3.0,2.0,2200.0,41.8928228,-87.66938050000002
"418 Church St Evanston, IL 60201",548000.0,3.0,2.0,2200.0,42.046897,-87.67683
"1022 S Racine Ave Apt 301 Chicago, IL 60607",529000.0,3.0,2.0,2191.0,41.8686827,-87.6570354
"1212 N Lake Shore Dr Apt 33AS Chicago, IL 60610",1300000.0,3.0,2.5,2150.0,41.9045617,-87.62550859999999
"4209 S Michigan Ave Apt 1N Chicago, IL 60653",1935000.0,2.0,2.5,2146.0,41.81811200000001,-87.622553
"17922 Alabama Ct Orland Park, IL 60467",245000.0,2.0,2.5,2117.0,41.5637188,-87.8815657
"2850 N Damen Ave # 3 Chicago, IL 60618",470000.0,3.0,3.0,2100.0,41.9337752,-87.67844439999999
"1110 N Lake Shore Dr Apt 7S Chicago, IL 60611",860000.0,3.0,2.5,2100.0,41.902836,-87.62504299999999
"1120 Driftwood Ct Flossmoor, IL 60422",177000.0,3.0,2.5,2100.0,41.5419783,-87.69276909999999
"6426 S Kenwood Ave Apt 1S Chicago, IL 60637",160000.0,3.0,2.5,2100.0,41.7778658,-87.59342769999999
"1640 W Beach Ave Apt 1E Chicago, IL 60622",585000.0,3.0,2.5,2100.0,41.9078046,-87.6692205
"130 E Oak St Apt 13B Chicago, IL 60611",722500.0,2.0,2.5,2100.0,41.901074,-87.62464299999999
"7362 N Damen Ave Apt 3N Chicago, IL 60645",245000.0,3.0,2.0,2100.0,42.01579900000001,-87.68079999999999
"3241 N Racine Ave # 3 Chicago, IL 60657",580000.0,3.0,2.0,2100.0,41.9410615,-87.6586236
"2024 W Roscoe St Apt 2 Chicago, IL 60618",528000.0,3.0,2.0,2100.0,41.9434918,-87.6795166
"6844 Zurich Ct Tinley Park, IL 60477",230000.0,2.0,2.0,2100.0,41.5572609,-87.7847848
"641 W Willow St Apt 122 Chicago, IL 60614",568000.0,2.0,2.0,2100.0,41.9134256,-87.6451256
