,latitude,longitude,Address,List_Price,beds,baths,sq_ft
236,41.874159999999996,-87.63288,"161 W Harrison St Chicago, IL 60605","$318,500 ",2.0,2.0,"1,200"
237,41.69705,-87.68783499999999,"10800 S Talman Ave Chicago, IL 60655","$320,000 ",3.0,2.0,"1,600"
238,42.067403999999996,-87.780447,"840 Polo Ln Glenview, IL 60025","$1,050,000 ",5.0,3.0,"4,020"
239,42.070302000000005,-87.693366,"204 5th St Wilmette, IL 60091","$735,000 ",3.0,2.5,2.5
240,42.017933,-87.663732,"1321 W Birchwood Ave Apt 307 Chicago, IL 60626","$149,900 ",1.0,1.0,900
241,41.55958,-87.650051,"1344 Olive Rd Homewood, IL 60430","$175,000 ",3.0,2.0,"1,319"
242,41.936434000000006,-87.696338,"2725 W Nelson St Chicago, IL 60618","$469,000 ",3.0,2.5,2.5
243,42.029468,-88.154107,"2870 Meadow Ln Unit Z2 Schaumburg, IL 60193","$167,900 ",2.0,2.0,"1,200"
244,42.035636,-88.164937,"18 N Victoria Ln Apt D Streamwood, IL 60107","$146,900 ",2.0,1.0,1
245,42.077698999999996,-88.022163,"3255 Kirchoff Rd Apt 212 Rolling Meadows, IL 60008","$122,500 ",2.0,2.0,900
246,42.05107,-87.865838,"9413 Bay Colony Dr Apt 2S Des Plaines, IL 60016","$139,000 ",2.0,1.0,1
