,List_Price ,List_Price .1,beds,baths,sq_ft
221,"4853 W Race Ave # 55 Chicago, IL 60644",3500.0,5.0,2.0,1804.0
222,"2451 N Clybourn Ave Apt 11 Chicago, IL 60614",510000.0,3.0,3.0,1800.0
223,"900 W Agatite Ave Apt 2 Chicago, IL 60640",362000.0,3.0,3.0,1800.0
224,"1137 W Roscoe St # 1137 Chicago, IL 60657",480000.0,3.0,3.0,1800.0
225,"210 E Pearson St Apt 12C Chicago, IL 60611",537500.0,3.0,2.5,1800.0
226,"909 W Diversey Pkwy Chicago, IL 60614",597000.0,3.0,2.5,1800.0
227,"630 N State St Chicago, IL 60654",770000.0,3.0,2.5,1800.0
228,"330 W Grand Ave # P18 Chicago, IL 60654",620000.0,3.0,2.5,1800.0
229,"1029 N Wolcott Ave # 3 Chicago, IL 60622",525000.0,2.0,2.5,1800.0
230,"1020 W Armitage Ave Apt 3B Chicago, IL 60614",725000.0,2.0,2.5,1800.0
231,"147 N Rose St Palatine, IL 60067",323000.0,2.0,2.5,1800.0
232,"1137 N Wood St Apt 1E Chicago, IL 60622",550000.0,2.0,2.5,1800.0
233,"4452 S University Ave Apt 2 Chicago, IL 60653",275000.0,3.0,2.0,1800.0
234,"4400 N Paulina St Apt 2A Chicago, IL 60640",405000.0,3.0,2.0,1800.0
235,"4230 S King Dr Apt 3N Chicago, IL 60653",205000.0,3.0,2.0,1800.0
236,"2230 N Kenmore Ave # 2 Chicago, IL 60614",490000.0,3.0,2.0,1800.0
237,"2778 W Francis Pl # G2 Chicago, IL 60647",259000.0,3.0,2.0,1800.0
238,"3200 N Lake Shore Dr Apt 2007 Chicago, IL 60657",465000.0,3.0,2.0,1800.0
239,"6334 N Sheridan Rd Apt 3F Chicago, IL 60660",380000.0,3.0,2.0,1800.0
240,"2147 N Kenmore Ave # 1B Chicago, IL 60614",490000.0,3.0,2.0,1800.0
241,"31 E Elm St Apt 3A Chicago, IL 60611",845000.0,3.0,2.0,1800.0
242,"4910 S Vincennes Ave # 3 Chicago, IL 60615",155000.0,3.0,2.0,1800.0
243,"820 N California Ave Apt 4 Chicago, IL 60622",375000.0,3.0,2.0,1800.0
244,"55 E Erie St Apt 2704 Chicago, IL 60611",970000.0,3.0,2.0,1800.0
245,"5371 W Lawrence Ave Apt 3 Chicago, IL 60630",278000.0,2.0,2.0,1800.0
246,"1000 W Diversey Pkwy Apt 3A Chicago, IL 60614",450000.0,2.0,1.5,1800.0
247,"9365 Windsor Pkwy # 158 Tinley Park, IL 60487",169500.0,2.0,1.5,1800.0
248,"3118 N Lincoln Ave Apt 4B Chicago, IL 60657",530000.0,3.0,2.0,1790.0
249,"21 E Huron St Apt 1702 Chicago, IL 60611",1030000.0,2.0,2.5,1786.0
250,"21 E Huron St Apt 2406 Chicago, IL 60611",1000000.0,2.0,2.5,1786.0
251,"1501 N State Pkwy Apt 10C Chicago, IL 60610",635000.0,2.0,2.0,1785.0
252,"1870 Dogwood Dr Hoffman Estates, IL 60192",265000.0,3.0,2.0,1782.0
253,"4603 N Racine Ave Apt 302 Chicago, IL 60640",419000.0,3.0,2.0,1780.0
254,"55 E Erie St Apt 2604 Chicago, IL 60611",980000.0,3.0,2.0,1762.0
255,"33 W Huron St Apt 304 Chicago, IL 60654",770000.0,2.0,2.0,1761.0
256,"4740 S Paulina St Chicago, IL 60609",110000.0,4.0,4.0,1758.0
257,"6430 W Berteau Ave Apt 206 Chicago, IL 60634",229500.0,2.0,2.0,1756.0
258,"567 W Parkside Dr Palatine, IL 60067",275000.0,3.0,2.5,1750.0
259,"1122 N Dearborn St # P40 Chicago, IL 60610",800000.0,3.0,2.5,1750.0
260,"3410 S Calumet Ave Apt 4 Chicago, IL 60616",215000.0,3.0,2.0,1750.0
261,"2139 W Roscoe St Unit 2E Chicago, IL 60618",555000.0,3.0,2.0,1750.0
262,"1120 W Oakdale Ave Apt 1F Chicago, IL 60657",467000.0,3.0,2.0,1750.0
263,"843 W Gunnison St Apt 2W Chicago, IL 60640",395000.0,2.0,2.0,1750.0
264,"1875 Old Willow Rd Unit 131 Northfield, IL 60093",425000.0,2.0,2.0,1750.0
265,"1035 W Huron St Apt 504 Chicago, IL 60642",448000.0,2.0,2.0,1750.0
266,"3401 N Carriageway Dr Unit 205 Arlington Heights, IL 60004",251500.0,2.0,2.0,1723.0
267,"6624 Martin France Cir Apt 3A Tinley Park, IL 60477",65000.0,2.0,2.0,1720.0
268,"3755 N Racine Ave Apt 3D Chicago, IL 60613",515000.0,3.0,2.5,1719.0
269,"100 E Huron St Apt 3103 Chicago, IL 60611",765000.0,2.0,3.0,1717.0
270,"656 W Buckingham Pl Apt 1E Chicago, IL 60657",442000.0,3.0,2.5,1700.0
271,"211 E Ohio St Apt 2807 Chicago, IL 60611",605000.0,3.0,2.5,1700.0
272,"1505 N Artesian Ave # 2 Chicago, IL 60622",423000.0,3.0,2.5,1700.0
273,"960 Enfield Dr # 3-F4 Northbrook, IL 60062",335000.0,3.0,2.5,1700.0
274,"1887 N Poe St Apt 1F Chicago, IL 60614",535000.0,2.0,2.5,1700.0
275,"2011 W Concord Pl Apt A Chicago, IL 60647",435000.0,2.0,2.5,1700.0
276,"4417 N Malden St Chicago, IL 60640",365000.0,3.0,2.0,1700.0
277,"4419 N Beacon St Apt 3N Chicago, IL 60640",380000.0,3.0,2.0,1700.0
278,"1332 W Madison St Apt 3E Chicago, IL 60607",680000.0,3.0,2.0,1700.0
279,"646 E 51st St Apt 3E Chicago, IL 60615",164000.0,3.0,2.0,1700.0
280,"615 N Noble St Apt 2S Chicago, IL 60642",489000.0,3.0,2.0,1700.0
281,"1257 N Campbell Ave Apt 4 Chicago, IL 60622",415000.0,3.0,2.0,1700.0
282,"812 W Waveland Ave Apt 2 Chicago, IL 60613",487000.0,3.0,2.0,1700.0
283,"1030 N State St Apt 12M Chicago, IL 60610",635000.0,3.0,2.0,1700.0
284,"1749 N Wells St Apt 1610 Chicago, IL 60614",624000.0,2.0,2.0,1700.0
285,"70 E 18th St Unit 4D Chicago, IL 60616",465000.0,2.0,2.0,1700.0
286,"630 W Wrightwood Ave Apt 2W Chicago, IL 60614",578000.0,2.0,2.0,1700.0
287,"411 S Sangamon St Apt 6C Chicago, IL 60607",565000.0,2.0,1.0,1700.0
288,"11230 Sycamore Ln # 59C Palos Hills, IL 60465",144500.0,3.0,2.0,1696.0
289,"1825 N Winnebago Ave # P-12 Chicago, IL 60647",493000.0,3.0,2.0,1687.0
290,"680 N Lake Shore Dr Apt 1407 Chicago, IL 60611",580000.0,2.0,1.5,1682.0
291,"1225 Court C Hanover Park, IL 60133",174000.0,4.0,2.5,1680.0
292,"1737 N Paulina St Apt 303 Chicago, IL 60622",427500.0,2.0,1.5,1680.0
293,"222 N Columbus Dr Apt 4901 Chicago, IL 60601",760000.0,3.0,2.5,1675.0
294,"100 E Huron St Apt 4301 Chicago, IL 60611",825000.0,2.0,2.5,1657.0
295,"701 S Wells St Apt 3106 Chicago, IL 60607",530000.0,3.0,2.5,1652.0
