Address ,List_Price ,
"258 W Hamilton Dr Palatine, IL 60067","$87,500 ",
"424 Jason Ln Schaumburg, IL 60173","$370,000 ",
"2334 N Keystone Ave Chicago, IL 60639","$180,000 ",
"1808 W Race Ave Chicago, IL 60622","$205,000 ",
"410 S Evergreen Ave Arlington Heights, IL 60005","$238,000 ",
"838 Indian Rd Glenview, IL 60025","$960,000 ",
"1601 Del Ogier Dr Glenview, IL 60025","$205,000 ",
"3300 N Lake Shore Dr Apt 5C Chicago, IL 60657","$346,000 ",
"4104 N Austin Ave Chicago, IL 60634","$385,000 ",
"1212 N Lake Shore Dr Apt 32AS Chicago, IL 60610","$38,000 ",
"203 Sheridan Rd Winnetka, IL 60093","$755,000 ",
"928 W Eastwood Ave Apt 2E Chicago, IL 60640","$335,000 ",
"1224 W Van Buren St Apt 709 Chicago, IL 60607","$78,000 ",
"2335 W Belle Plaine Ave Chicago, IL 60618","$575,000 ",
"4015 W Patterson Ave Chicago, IL 60641","$415,000 ",
"2309 W Chicago Ave Apt 2 Chicago, IL 60622","$63,000 ",
"8801 W Golf Rd Apt 4G Niles, IL 60714","$359,000 ",
"6700 S Brainard Ave Apt 302 Countryside, IL 60525","$240,000 ",
"1541 W Beverly Cir Hanover Park, IL 60133","$285,000 ",
"102 Mayer Ave Wheeling, IL 60090","$73,500 ",
"22523 Yates Ave Sauk Village, IL 60411","$405,000 ",
"11134 S Normal Ave Chicago, IL 60628","$315,000 ",
"19829 Orchard Ave Lynwood, IL 60411","$315,000 ",
"2180 W 118th St Chicago, IL 60643","$157,000 ",
"7911 Laguna Ln Orland Park, IL 60462","$355,000 ",
"9219 S Wallace St Chicago, IL 60620","$530,000 ",
"8142 S Avalon Ave Chicago, IL 60619","$365,000 ",
"11523 Fenwood Ct Orland Park, IL 60467","$242,500 ",
"1420 S Springfield Ave # 2 Chicago, IL 60623","$160,000 ",
"912 Lyman Ave Oak Park, IL 60304","$425,000 ",
"2928 W Polk St Chicago, IL 60612","$25,000 ",
"2014 N Lincoln Ave Chicago, IL 60614","$648,000 ",
"1543 N Hudson Ave Apt 2 Chicago, IL 60610","$200,000 ",
"6528 W 64th Pl Chicago, IL 60638","$215,000 ",
"624 S Knight Ave Park Ridge, IL 60068","$300,000 ",
"2939 N 78th Ct Elmwood Park, IL 60707","$977,500 ",
"4154 N Meade Ave Chicago, IL 60634","$110,000 ",
"2035 Birch St Des Plaines, IL 60018","$49,000 ",
"2726 W Catalpa Ave Chicago, IL 60625","$193,000 ",
"600 N Kingsbury St Apt 1706 Chicago, IL 60654","$385,000 ",
"9960 Franchesca Ct Apt 2C Orland Park, IL 60462","$410,000 ",
"10923 S Church St Chicago, IL 60643","$250,000 ",
"16040 Cottage Grove Ave South Holland, IL 60473","$250,000 ",
"3252 W Cullom Ave # 2W Chicago, IL 60618","$135,000 ",
"1351 N Leavitt St # 3 Chicago, IL 60622","$284,000 ",
"1248 W Fletcher St Unit D Chicago, IL 60657","$120,000 ",
"244 Columbia Ave Park Ridge, IL 60068","$316,500 ",
"5205 W Berenice Ave Chicago, IL 60641","$186,000 ",
"7850 N Octavia Ave Niles, IL 60714","$323,000 ",
"7315 W Coyle Ave Chicago, IL 60631","$750,000 ",
"5855 N Sheridan Rd Apt 18H Chicago, IL 60660","$300,000 ",
"1148 Sheridan Rd Wilmette, IL 60091","$60,000 ",
"125 S Jefferson St Unit 1005 Chicago, IL 60661","$279,000 ",
"10653 Dani Ln Orland Park, IL 60462","$132,000 ",
"14334 Fawn View Cir Orland Park, IL 60467","$115,000 ",
"5128 W Henderson St Chicago, IL 60641","$170,000 ",
"919 N Boxwood Dr Apt 303 Mount Prospect, IL 60056","$45,000 ",
"6341 N Kedvale Ave Chicago, IL 60646","$380,000 ",
"6207 N Winthrop Ave Chicago, IL 60660","$80,000 ",
"9014 S Francisco Ave Evergreen Park, IL 60805","$76,500 ",
"11740 S Kedvale Ave Alsip, IL 60803","$215,000 ",
"310 Royal Oak Dr Steger, IL 60475","$80,500 ",
"29 W 125th St Chicago, IL 60628","$114,000 ",
"3763 W 78th St Chicago, IL 60652","$460,000 ",
"6437 26th St Berwyn, IL 60402","$200,000 ",
"1931 S 57th Ave Cicero, IL 60804","$129,000 ",
"1504 S 48th Ct Cicero, IL 60804","$190,000 ",
"8037 S Woodlawn Ave Chicago, IL 60619","$350,000 ",
"880 N Lake Shore Dr Chicago, IL 60611","$470,000 ",
"5426 Teaberry Ct Rolling Meadows, IL 60008","$353,000 ",
"8904 Jody Ln Apt 2C Des Plaines, IL 60016","$237,500 ",
"425 52nd Ave Bellwood, IL 60104","$212,500 ",
"801 Lacy Ave Streamwood, IL 60107","$258,000 ",
"1500 W Monroe St Unit 507 Chicago, IL 60607","$430,000 ",
"1525 White Trl Elk Grove Village, IL 60007","$245,500 ",
"10210 S Parnell Ave Chicago, IL 60628","$148,000 ",
"2416 Elmwood Ave Berwyn, IL 60402","$87,500 ",
"312 S Nolton Ave Willow Springs, IL 60480","$165,000 ",
"4239 Maple Ave Brookfield, IL 60513","$339,000 ",
"8306 Richards Ct Tinley Park, IL 60477","$323,000 ",
"3806 W 87th St Chicago, IL 60652","$132,000 ",
"13315 Maple Ave Lemont, IL 60439","$170,000 ",
"1000 W Washington Blvd Unit 226 Chicago, IL 60607","$515,000 ",
"1270 S Blue Island Ave Unit 101 Chicago, IL 60608","$515,000 ",
"9223 W 121st St Palos Park, IL 60464","$305,000 ",
"11540 S Highwood Dr Palos Park, IL 60464","$788,000 ",
"724 E 193rd Pl Glenwood, IL 60425","$455,000 ",
"15629 Shenandoah Dr Orland Park, IL 60467","$60,000 ",
"9074 W Terrace Dr Apt 4B Niles, IL 60714","$300,000 ",
"306 Wildflower St Des Plaines, IL 60016","$27,000 ",
"650 Murray Ln Unit 213 Des Plaines, IL 60016","$1,100,000 ",
"2429 Lincoln St Franklin Park, IL 60131","$114,000 ",
"4807 Woodcliff Ct Rolling Meadows, IL 60008","$175,000 ",
"8044 S Dante Ave Chicago, IL 60619","$169,000 ",
"616 S Cedar St Palatine, IL 60067","$180,000 ",
"13544 Lincolnshire Dr Orland Park, IL 60462","$116,000 ",
"4824 W Balmoral Ave Chicago, IL 60630","$209,000 ",
