Address,List_Price ,beds,baths,sq_ft
"3525 W Lexington St # 1 Chicago, IL 60624","$119,900 ",8,,
"7353 W Monroe St Niles, IL 60714","$325,000 ",5,3.5,"2,250"
"5428 W Agatite Ave Chicago, IL 60630","$435,000 ",5,3,3
"1234 W Arthur Ave Chicago, IL 60626","$549,000 ",6,,
"1737 W Melrose St Apt 3 Chicago, IL 60657","$489,000 ",3,2,2
"4343 N Francisco Ave Chicago, IL 60618","$460,000 ",4,2,"1,800"
"1038 N Orleans St Chicago, IL 60610","$1,829,900 ",4,5,"4,200"
"1324 W Ohio St Chicago, IL 60642","$475,000 ",2,2,2
"1834 W Birchwood Ave Chicago, IL 60626","$559,900 ",6,,
"1251 W Fletcher St Unit L Chicago, IL 60657","$609,000 ",3,2.5,2.5
"2951 N Clybourn Ave Unit 309 Chicago, IL 60618","$258,000 ",2,1,920
"6939 N Lexington Ln Niles, IL 60714","$749,000 ",4,4,"2,500"
"6450 S New England Ave Apt 1C Chicago, IL 60638","$80,250 ",2,1,900
"17841 Maine Ct Orland Park, IL 60467","$224,900 ",2,2.5,"2,060"
"5654 W Warwick Ave Chicago, IL 60634","$285,000 ",4,3,"2,200"
"3622 N Oconto Ave Chicago, IL 60634","$300,000 ",5,2,2
"5237 N Lind Ave Chicago, IL 60630","$315,000 ",2,2,"1,395"
"Chicago, IL 60622","$499,000 ",2,2,2
"2025 S Indiana Ave Apt 305 Chicago, IL 60616","$299,500 ",2,1.5,907
